Designator,Mid X,Mid Y,Layer,Rotation
C1,26.04,82.87,Top,270.0
C2,80.01,73.03,Top,0.0
C3,80.01,46.99,Top,0.0
C4,39.37,46.99,Top,0.0
C5,39.37,73.03,Top,0.0
C6,59.69,73.03,Top,0.0
C7,59.69,46.99,Top,0.0
C8,18.41,73.03,Top,0.0
C9,17.78,46.99,Top,0.0
C10,35.88,16.83,Top,90.0
IC1,34.29,60.96,Top,0.0
IC2,74.93,35.56,Top,0.0
IC3,54.61,60.96,Top,0.0
IC4,74.93,60.96,Top,0.0
IC5,12.70,60.96,Top,0.0
IC6,54.61,35.56,Top,0.0
IC7,34.29,35.56,Top,0.0
IC8,12.70,35.56,Top,0.0
IC9,31.12,15.24,Top,0.0
IC10,30.80,84.45,Top,180.0
R1,44.45,15.24,Top,90.0
R2,46.99,15.24,Top,90.0
R3,49.53,15.24,Top,90.0
R4,52.07,15.24,Top,90.0
R5,54.61,15.24,Top,90.0
R6,57.15,15.24,Top,90.0
R7,59.69,15.24,Top,90.0
R8,62.23,15.24,Top,90.0
R9,64.77,15.24,Top,90.0
R10,67.31,15.24,Top,90.0
R11,69.85,15.24,Top,90.0
R12,72.39,15.24,Top,90.0
R13,74.93,15.24,Top,90.0
R14,77.47,15.24,Top,90.0
R15,80.01,15.24,Top,90.0
R16,43.18,12.70,Top,90.0
R17,82.55,15.24,Top,90.0
R18,45.72,12.70,Top,90.0
R19,48.26,12.70,Top,90.0
R20,50.80,12.70,Top,90.0
R21,53.34,12.70,Top,90.0
R22,55.88,12.70,Top,90.0
R23,58.42,12.70,Top,90.0
R24,60.96,12.70,Top,90.0
R25,66.04,12.70,Top,90.0
R26,63.50,12.70,Top,90.0
R27,68.58,12.70,Top,90.0
R28,71.12,12.70,Top,90.0
R29,73.66,12.70,Top,90.0
R30,76.20,12.70,Top,90.0
R31,78.74,12.70,Top,90.0
R32,81.28,12.70,Top,90.0
R33,80.01,83.82,Top,270.0
R34,77.47,83.82,Top,270.0
R35,74.93,83.82,Top,270.0
R36,72.39,83.82,Top,270.0
R37,69.85,83.82,Top,270.0
R38,67.31,83.82,Top,270.0
R39,64.77,83.82,Top,270.0
R40,62.23,83.82,Top,270.0
R41,59.69,83.82,Top,270.0
R42,57.15,83.82,Top,270.0
R43,54.61,83.82,Top,270.0
R44,52.07,83.82,Top,270.0
R45,49.53,83.82,Top,270.0
R46,46.99,83.82,Top,270.0
R47,45.72,86.36,Top,270.0
R48,81.28,86.36,Top,270.0
R49,41.91,83.82,Top,270.0
R50,78.74,86.36,Top,270.0
R51,76.20,86.36,Top,270.0
R52,73.66,86.36,Top,270.0
R53,71.12,86.36,Top,270.0
R54,68.58,86.36,Top,270.0
R55,66.04,86.36,Top,270.0
R56,63.50,86.36,Top,270.0
R57,58.42,86.36,Top,270.0
R58,60.96,86.36,Top,270.0
R59,55.88,86.36,Top,270.0
R60,53.34,86.36,Top,270.0
R61,50.80,86.36,Top,270.0
R62,48.26,86.36,Top,270.0
R63,44.45,83.82,Top,270.0
R64,43.18,86.36,Top,270.0
