Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation
U3,LD1117S12TR,Top,SOT-223_M,45.0338mm,79.8072mm,135
D2,?? 0603,Top,0603_LED_S1,37.465mm,86.741mm,45
R1,10KO (1002) ±1%,Top,0603_R,81.661mm,38.6mm,270
C3,10uF (106) 10% 10V,Top,0603_C,36.957mm,81.153mm,135
P4,61301011121,Top,61301011121,60.96mm,94.615mm,180
U2,LD1117D33TR,Top,FP-SO-8-0016023-MFG,41.783mm,85.725mm,45
U1,ICE40HX1K-TQ144,Top,LATC-TQFP-144_L,60.96mm,60.96mm,0
R3,10KO (1002) ±1%,Top,0603_R,70.739mm,46.355mm,270
R2,10KO (1002) ±1%,Top,0603_R,79.502mm,38.608mm,270
P3,61301011121,Top,61301011121,94.615mm,60.96mm,90
P2,61301011121,Top,61301011121,60.96mm,27.305mm,0
P1,61301011121,Top,61301011121,27.305mm,60.96mm,270
IC3,W25Q16JVSSIQ,Top,SOIC127P790X216-8N,73.406mm,41.783mm,270
D1,1N4148W-13-F,Top,FP-SOD123-MFG,73.914mm,72.39mm,90
C2,1uF (105) 10% 50V,Top,0603_C,38.354mm,82.55mm,135
C1,1uF (105) 10% 50V,Top,0603_C,48.9855mm,82.2055mm,135
